paintname,hex
Morven,#fad19c
Kūmara,#f2b66a
Ninety Mile Beach,#f7dfb9
Sheffield,#e99e4b
Cheviot,#eeac5d
Raumati,#d9853f
Evans Bay,#e8944b
Riverton,#b77e53
Kūaotunu,#dec8ae
Tokoroa,#88593a
Broadfield,#c48e5e
Frankton,#734833
Herd Street,#d7a97f
Ligar Bay,#de9351
Baylys Beach,#dfb995
Abbotsford,#cc996a
Albert Town,#d27b34
Pukehina Half,#f7e0c9
Mercury Bay,#fde4c6
Roxburgh,#ffcfa0
Hāwera,#faecdd
Mercury Bay Half,#fbebd3
Mititai,#ffc18a
Moorehouse Street,#f88c30
Green Island,#ffac62
Tapawera,#d7bda6
Opito Bay,#e5d1c0
Broadway,#d5a285
Cape Campbell,#8a4e30
Ngongotahā,#ead4c7
Kingsland,#a98469
St Andrews,#faeee4
Bainham,#6d4333
Taumata,#f2d0bf
Taumata Quarter,#f7e5d9
Bucklands Beach,#f7baa2
Kuratau,#eb9a76
Ruawai,#dd7f5a
Pōrangahau,#c4552d
Coatesville,#ad4430
Benhar,#d69579
Rangatāua,#b55732
Kākahi,#edd3c7
Nile Street,#c4795d
Tāne Mahuta,#934a35
Waitārere Beach,#ffaa97
Havelock North,#ff9d80
Te Awamutu,#fc7f5d
The Domain,#fac9b5
Ponsonby,#9d6750
Courtenay Place,#e35840
Halfway Bluff,#c6765f
Merino Downs,#f2ded4
Gabriel's Gully,#e7c7a9
Honeymoon Valley,#ff9f68
Pukehina,#f5d5ba
Eltham,#fad997
Earnscleugh,#ca965d
Cheltenham,#ede0d4
