paintname,hex,place,modifier,longitude,latitude
Dusky Sound,#d4c5d5,Dusky Sound,,166.7457543,-45.7346227
Clarence River,#e7dee7,Clarence River,,173.3054709,-42.2455393
Tūrangi,#bcb3c3,Tūrangi,,175.8089539,-38.9887347
Whangapē,#68546d,Whangapē,,175.052233,-37.4760472
Rarawa Beach,#dcdce1,Rarawa Beach,,173.0769397,-34.716506
Virginia Lake,#51485c,Virginia Lake,,175.0334246,-39.9135684
Tuakau,#c6c5d9,Tuakau,,174.9473466,-37.2625891
Lake Pūkaki,#736c8f,Lake Pūkaki,,170.1742311,-44.0477609
Ōrakei Kōrako Half,#dcd6e7,Ōrakei Kōrako,Half,176.1425972,-38.4741366
Moores Valley Road,#e7e1e8,Moores Valley Road,,174.9808264,-41.2650351
Hāpuku,#b1a7cc,Hāpuku,,173.6750537,-42.2350132
Katiki,#413450,Katiki,,170.8385396,-45.3966115
Rabbit Island,#d0cce5,Rabbit Island,,173.1450011,-41.2693151
Tapanui,#705a89,Tapanui,,169.2619453,-45.9425171
The Pines Beach,#8e7baa,The Pines Beach,,172.7022205,-43.3752036
Outram,#42354f,Outram,,170.2290377,-45.8598144
Haunui Double,#e7e5e9,Haunui,Double,175.453991,-41.1518312
Koekohe Beach,#b2b0bd,Koekohe Beach,,170.8270021,-45.3192494
Whangārei Heads,#737389,Whangārei Heads,,174.5053966,-35.8164559
Lake Sumner,#525266,Lake Sumner,,172.1546142,-42.6268076
Tongapōrutu,#514e5c,Tongapōrutu,,174.5992321,-38.8207345
Mossburn,#9d9fb3,Mossburn,,168.2347682,-45.6693308
Sawdon,#888aa0,Sawdon,,170.5087159,-44.0599426
Māngere Bridge,#d4d3e0,Māngere Bridge,,174.7852413,-36.9439039
Mitre Peak,#36343f,Mitre Peak,,167.8548891,-44.632577
Becks,#b9b6cb,Becks,,169.7494268,-44.9928068
Bishopdale,#928ea9,Bishopdale,,172.5886622,-43.4884343
Kihikihi,#7e7793,Kihikihi,,175.3450108,-38.0372702
42 Traverse,#c3c7d8,42 Traverse,,176.0236206,-37.6557578
Waikuku,#686d92,Waikuku,,172.6836745,-43.2930625
Pukerua Bay,#5b546e,Pukerua Bay,,174.8854454,-41.0374407
Nugget Point,#49465a,Nugget Point,,167.109,-45.014361
Lepperton,#3e4463,Lepperton,,174.2118559,-39.0587991
Pigeon Bay,#9ea8cf,Pigeon Bay,,172.8999544,-43.6867452
Cricklewood,#777eb0,Cricklewood,,170.8551264,-44.1710772
Petone,#7570a6,Petone,,174.8790351,-41.2249675
Tākaka,#b1b3c4,Tākaka,,172.8062424,-40.8574983
Vulcan Lane,#5f5b91,Vulcan Lane,,174.766325,-36.8471083
Surfdale,#989aa7,Surfdale,,175.0254461,-36.7932639
Jacks Point,#838592,Jacks Point,,168.7531685,-45.0760519
Benneydale,#5f616e,Benneydale,,175.3627608,-38.520108
Takitimu Mountains,#bdc2cf,Takitimu Mountains,,167.8507019,-45.7211667
Ilam,#4d4d58,Ilam,,172.5720494,-43.5165611
Lake Waikaremoana,#adb2c1,Lake Waikaremoana,,177.1020772,-38.7619146
Raglan,#5e6377,Raglan,,174.8682464,-37.7997729
Whangaroa,#3f4350,Whangaroa,,173.7420992,-35.0529406
Pātea,#52383a,Pātea,,174.4757901,-39.4615307
